City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
543494,Kovernino,52,RU,1596402601,90,57.13,43.81,51.35,2.93
3441890,Departamento de Maldonado,100,UY,1596402464,72,-34.67,-54.92,68.0,3.94
2126710,Beringovskiy,100,RU,1596402602,74,63.05,179.32,47.59,17.87
2339937,Gusau,80,NG,1596402602,93,12.16,6.66,73.09,8.1
2618795,Klaksvík,99,FO,1596402603,100,62.23,-6.59,50.0,11.41
779622,Havøysund,40,NO,1596402603,87,71.0,24.66,50.0,11.41
218680,Boende,91,CD,1596402603,92,-0.22,20.87,72.39,1.03
5905393,Bonavista,54,CA,1596402603,83,48.65,-53.11,61.0,7.0
2016307,Solnechnyy,100,RU,1596402604,87,50.72,136.63,53.44,7.31
480637,Tukan,98,RU,1596402604,93,53.84,57.46,57.34,3.18
1257298,Sapatgrām,89,IN,1596402424,81,26.33,90.11,81.68,1.21
895953,Zambezi,67,ZM,1596402604,36,-13.54,23.1,58.03,6.76
1486321,Yar-Sale,99,RU,1596402604,62,66.83,70.83,62.24,14.41
3421319,Nuuk,100,GL,1596402605,93,64.18,-51.72,48.2,3.36
250625,Karak,0,JO,1596402605,53,31.17,35.75,75.2,9.17
1510377,Belyy Yar,96,RU,1596402605,100,53.6,91.39,55.4,2.24
1337607,Kudahuvadhoo,100,MV,1596402605,79,2.67,72.89,82.09,12.19
161974,Bereket,0,TM,1596402606,15,39.24,55.52,88.81,10.67
2180815,Tuatapere,69,NZ,1596402606,87,-46.13,167.68,43.99,3.87
6180550,Whitehorse,75,CA,1596402606,48,60.72,-135.05,66.0,10.29
1645875,Curup,52,ID,1596402607,91,-3.47,102.53,66.67,1.16
3352593,Tsumeb,0,NA,1596402607,38,-19.23,17.72,54.37,6.91
3723593,Jérémie,87,HT,1596402607,71,18.65,-74.12,84.38,1.77
1487332,Verkhnyaya Inta,100,RU,1596402607,79,65.98,60.31,61.41,15.99
1651531,Ambon City,72,ID,1596402608,84,-3.7,128.18,77.41,9.53
6050416,La Tuque,100,CA,1596402608,96,47.43,-72.78,65.05,6.33
3381538,Grand-Santi,71,GF,1596402608,93,4.25,-54.38,79.57,1.12
3628473,San Cristobal,20,VE,1596402602,38,7.77,-72.22,93.2,25.28
1688696,San Policarpo,100,PH,1596402609,78,12.18,125.51,82.74,6.06
2522875,Province of Trapani,0,IT,1596402609,88,37.83,12.67,84.99,4.7
688750,Vylkove,0,UA,1596402609,67,45.4,29.59,65.41,2.08
3979846,Zacapú,75,MX,1596402609,82,19.83,-101.72,71.01,11.41
3520994,Puerto Escondido,40,MX,1596402610,70,15.85,-97.07,86.0,8.05
5110365,Broome,75,US,1596402610,45,42.25,-75.83,89.01,13.87
2218840,Bani Walid,0,LY,1596402610,29,31.76,13.99,79.75,5.53
3448903,São João da Barra,3,BR,1596402610,56,-21.64,-41.05,73.4,9.17
2194098,Ahipara,47,NZ,1596402611,79,-35.17,173.17,57.45,10.51
2121324,Shebunino,74,RU,1596402611,93,46.43,141.86,68.88,8.79
3386931,Tamandaré,72,BR,1596402353,77,-8.76,-35.1,74.93,12.75
3115824,Muros,100,ES,1596402611,73,42.78,-9.06,64.99,3.0
3445451,Várzea Grande,0,BR,1596402611,15,-15.65,-56.13,93.2,4.7
1608263,Nong Chik,100,TH,1596402612,83,6.84,101.18,78.51,6.26
5391959,San Francisco,20,US,1596402459,60,37.77,-122.42,73.99,14.99
4034496,Fare,98,PF,1596402612,77,-16.7,-151.02,79.07,10.83
4636045,Lebanon,20,US,1596402613,51,36.21,-86.29,82.99,3.36
2012532,Zhigalovo,85,RU,1596402613,86,54.81,105.16,56.12,3.15
3577911,Dovers,40,VC,1596402613,79,12.88,-61.18,84.2,2.24
2512186,Puerto del Rosario,0,ES,1596402613,69,28.5,-13.86,78.8,14.99
2167426,Emerald,90,AU,1596402613,87,-23.53,148.17,51.8,5.82
511865,Pechenga,75,RU,1596402614,76,69.53,31.17,50.0,11.41
3421193,Paamiut,100,GL,1596402614,97,61.99,-49.67,45.01,12.37
5516233,Amarillo,20,US,1596402614,27,35.22,-101.83,91.4,9.82
2136150,Luganville,75,VU,1596402614,78,-15.53,167.17,77.0,6.93
2181625,Te Anau,31,NZ,1596402615,89,-45.42,167.72,44.89,1.12
3374333,Praia,40,CV,1596402615,78,14.92,-23.51,82.4,10.29
2037078,Hailar,100,CN,1596402615,91,49.2,119.7,61.84,6.29
3864299,Bermejo,0,AR,1596402615,24,-32.88,-68.8,68.0,9.17
57000,Hobyo,83,SO,1596402616,72,5.35,48.53,79.14,22.97
